feature,importance
feature4,0.9348627664415701
feature10,0.024794833877329683
feature21,0.023460543846803347
feature7,0.007623805244223192
feature19,0.004111756327256543
feature2,0.0015285064814408006
feature13,0.0014040242357771274
feature6,0.0011778835055144485
feature3,0.0005107553591895318
feature11,0.00012861130953175347
feature8,4.7184121871553106e-05
feature14,4.5724309027226055e-05
feature9,3.184103111893608e-05
feature1,3.066060058110439e-05
feature22,2.8655739967626025e-05
feature5,2.4194702852525593e-05
feature27,2.175013995669723e-05
feature23,1.926103575060988e-05
feature12,1.7068158138832934e-05
feature18,1.65438554029628e-05
feature16,1.5078940078985917e-05
feature30,1.3518819348097413e-05
feature29,1.3380138067120578e-05
feature26,1.2789216103764551e-05
feature20,1.187740429563601e-05
feature24,1.0463747442603089e-05
feature17,1.0328746528762403e-05
feature25,9.307822074145825e-06
feature31,6.603098366005473e-06
feature28,6.4290357038107725e-06
feature15,3.362552653354476e-06
feature35,4.899556473511646e-07
feature32,2.0038582111515634e-10
feature33,0.0
feature34,0.0
