feature,importance
feature4,0.9577809695926669
feature10,0.01890346343877983
feature21,0.006814200481210329
feature7,0.005906664420360958
feature2,0.0028178194524916557
feature13,0.0026647444014481735
feature6,0.0022203217635507564
feature19,0.00188419216275816
feature3,0.00087122338189495
feature11,3.4888819326870633e-05
feature14,2.600856090306324e-05
feature22,1.202915811520144e-05
feature31,1.0773520355625491e-05
feature5,8.516570959090714e-06
feature24,8.393296185292105e-06
feature1,6.320371634689407e-06
feature16,6.013257308785151e-06
feature8,4.608013700391621e-06
feature9,3.4856186773302404e-06
feature30,2.7827128839336314e-06
feature20,2.6048502861698637e-06
feature28,1.8636326656435424e-06
feature27,1.6216257507998685e-06
feature26,1.470418602499207e-06
feature35,1.1897770534487137e-06
feature29,1.0204159768965005e-06
feature17,9.630883662719769e-07
feature25,9.558502735715602e-07
feature18,4.388997326779273e-07
feature23,3.5812639044043413e-07
feature12,9.431968936124907e-08
feature15,0.0
feature32,0.0
feature33,0.0
feature34,0.0
