feature,importance
feature4,0.70764816
feature19,0.12956136
feature21,0.07622216
feature2,0.029032087
feature10,0.024194349
feature7,0.013172337
feature6,0.009668366
feature3,0.0029580237
feature13,0.0020755283
feature11,0.0013048121
feature8,0.0005764969
feature15,0.00052180816
feature20,0.00046841908
feature22,0.00044120132
feature14,0.00042226675
feature9,0.00035784196
feature16,0.00030024326
feature5,0.00029932635
feature1,0.00024327869
feature18,0.00023694614
feature17,0.0001485653
feature30,0.00014634168
feature12,0.0
feature24,0.0
feature25,0.0
feature26,0.0
feature23,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
