feature,importance
feature4,0.935637604571004
feature10,0.024541823960761686
feature21,0.023085615789760924
feature7,0.0073781377309277965
feature19,0.0041176805251761425
feature2,0.0015221398051476621
feature13,0.0014390405330086682
feature6,0.001245782804052843
feature3,0.000489096788715473
feature11,0.00013772359981701365
feature14,4.1626705493482546e-05
feature8,4.086283258148499e-05
feature1,3.583952286837853e-05
feature9,3.560796510947713e-05
feature5,2.8193538470479186e-05
feature22,2.572832271632942e-05
feature18,2.1821781407122527e-05
feature27,1.8694685060429334e-05
feature12,1.581951858256269e-05
feature30,1.5074894037037592e-05
feature23,1.4664984677288282e-05
feature20,1.3017901164159321e-05
feature17,1.2985483402960573e-05
feature24,1.284858872492116e-05
feature31,1.2633123151974788e-05
feature16,1.2588929816085406e-05
feature26,1.2229339654788635e-05
feature29,1.0788749301956915e-05
feature28,8.887848526514051e-06
feature25,8.279254419974761e-06
feature15,6.4138596379831415e-06
feature35,7.459626297130055e-07
feature32,1.0019291055757823e-10
feature33,0.0
feature34,0.0
