original_index,Delta_X,Delta_Y
292,14.305000000000293,322.724
293,-35.76299999999992,-375.652
300,56.9350000000004,489.521
301,-56.64800000000014,-443.459
303,30.326000000000025,444.603
304,-28.32399999999961,-453.186
311,-54.35900000000038,700.378
312,29.467999999999847,-734.9970000000001
