index,Delta_X,Delta_Y
219,5.1489999999994325,107.288
228,19.16899999999987,102.42500000000001
282,37.76500000000033,128.45999999999998
283,-27.46600000000035,-119.305
288,5.149000000000342,128.46
289,-42.628999999999905,-140.476
291,33.75999999999931,109.863
292,14.305000000000291,322.724
293,-35.76299999999992,-375.652
300,56.9350000000004,489.521
301,-56.64800000000014,-443.459
303,30.326000000000022,444.603
304,-28.323999999999614,-453.186
311,-54.35900000000038,700.378
312,29.467999999999847,-734.9970000000001
314,1.717000000000553,-110.149
425,104.42699999999968,17.45300000000003
496,-7.438000000000102,99.85000000000002
