feature,importance
feature4,0.9348839701002931
feature10,0.02510248019151888
feature21,0.022591200121254883
feature7,0.007586397518901739
feature19,0.004140227001557959
feature13,0.0015650285202347329
feature2,0.0014913543743478002
feature6,0.0012860396858439685
feature3,0.0005403782576454165
feature11,0.00020458769581301007
feature1,6.943314063015797e-05
feature8,6.0663593868437335e-05
feature14,5.598535230956644e-05
feature5,5.224507156483644e-05
feature9,5.135934310716325e-05
feature18,3.265197927457014e-05
feature22,3.2234151373426655e-05
feature12,3.0350534890299322e-05
feature30,2.3578350738704444e-05
feature16,2.184080450847191e-05
feature31,2.119648984577608e-05
feature27,1.8667973722025634e-05
feature26,1.837152050301668e-05
feature20,1.804473473332572e-05
feature23,1.7830626218154406e-05
feature24,1.7786923919887864e-05
feature28,1.570363810426927e-05
feature29,1.4864020168247655e-05
feature17,1.3258049031169223e-05
feature25,1.1992453287518648e-05
feature15,7.819944480592718e-06
feature35,2.4508008125434533e-06
feature32,7.024881004151761e-09
feature33,1.0615517363446364e-11
feature34,0.0
