feature,importance
feature4,0.9311271017332332
feature21,0.026629099671111975
feature10,0.026232015662621906
feature7,0.0068770676040877865
feature19,0.004028569475627163
feature2,0.00210436551064053
feature13,0.0012145578233652918
feature6,0.0009642861775719355
feature3,0.00033923754668712666
feature11,0.00018703358884671048
feature5,8.04924534767986e-05
feature14,6.911557659329993e-05
feature1,6.497622933913915e-05
feature12,3.903659272258016e-05
feature23,1.0574496703339074e-05
feature26,9.795824972596536e-06
feature8,8.192447712416859e-06
feature16,6.781495910386527e-06
feature20,2.5043483547439602e-06
feature30,2.1393709525765583e-06
feature24,1.706927509562136e-06
feature9,5.666034974430595e-07
feature29,3.082113573294921e-07
feature18,3.073520026188981e-07
feature31,7.341640492598839e-08
feature22,4.927864744676335e-08
feature25,3.090218252213946e-08
feature27,1.0243972500483998e-08
feature28,3.43389419921173e-09
feature17,0.0
feature15,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
