feature,importance
feature4,0.9536481199789636
feature10,0.01877515511491595
feature21,0.011852622086070077
feature7,0.0059020865082634565
feature13,0.003831026513207474
feature19,0.0022731142382414844
feature2,0.0013052112048730947
feature6,0.00115251113081679
feature3,0.0009662316724060707
feature11,0.00013441567090240395
feature28,3.928877296710306e-05
feature8,3.772603774232742e-05
feature30,2.563978779200272e-05
feature26,1.5632089492624288e-05
feature1,1.4206823762189572e-05
feature14,1.0078176733930193e-05
feature9,5.631288320239844e-06
feature12,5.171308562274766e-06
feature23,2.8603352102852887e-06
feature18,1.6463151021209391e-06
feature16,7.967706950590357e-07
feature22,3.8253804728155856e-07
feature25,3.611905460028843e-07
feature5,4.266020408186858e-08
feature17,3.387996055913391e-08
feature31,4.009753257325336e-09
feature20,3.89644826770669e-09
feature24,0.0
feature27,0.0
feature15,0.0
feature29,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
