feature,importance
feature4,0.9533096737159564
feature10,0.018115761971418377
feature21,0.011423318551530334
feature7,0.006302149635187489
feature13,0.004629893953607003
feature19,0.0019981656761719527
feature6,0.0013409304178919378
feature2,0.001224654219299638
feature3,0.0008661534572634313
feature11,0.00025571016972082407
feature8,6.793286875445685e-05
feature14,6.367087106592868e-05
feature5,5.742857225603629e-05
feature1,4.785729781848687e-05
feature9,4.633612169981313e-05
feature16,2.758428837794796e-05
feature12,2.621187417785339e-05
feature18,2.3666770148290275e-05
feature22,2.2399222965054992e-05
feature20,1.7174026207313448e-05
feature30,1.6385813841115847e-05
feature23,1.5728785016973212e-05
feature24,1.5557762975158852e-05
feature31,1.4971196161139565e-05
feature26,1.4562762183219303e-05
feature27,1.298696345980715e-05
feature29,1.2013970020436735e-05
feature17,1.0070771165237487e-05
feature28,9.740386343765505e-06
feature25,9.712731691811489e-06
feature15,9.120896866385584e-07
feature35,6.820865044893302e-07
feature32,9.994317773487162e-10
feature33,0.0
feature34,0.0
