feature,importance
feature4,0.9450462090972913
feature10,0.023230119436546078
feature21,0.01621609636073334
feature7,0.006884137212544454
feature19,0.0039685801630573985
feature2,0.0031163018050285704
feature13,0.0008303600350877674
feature6,0.00035386264584484503
feature3,0.0001749955112649733
feature14,5.9918656755822426e-05
feature11,5.74331346141963e-05
feature1,1.3772185274923688e-05
feature16,1.357828419993086e-05
feature18,1.3064650457642371e-05
feature28,8.202380378781782e-06
feature5,6.5054650903260255e-06
feature26,3.012362341870758e-06
feature24,1.5508261043599582e-06
feature30,1.1137796022859e-06
feature8,5.553278308986981e-07
feature12,4.284635267311603e-07
feature29,1.9273524338013083e-07
feature9,6.202215357567284e-09
feature20,3.2789645328688168e-09
feature15,0.0
feature34,0.0
feature33,0.0
feature32,0.0
feature31,0.0
feature25,0.0
feature27,0.0
feature23,0.0
feature22,0.0
feature17,0.0
feature35,0.0
