feature,importance
feature4,0.9429323988343795
feature10,0.022184825230423033
feature21,0.01859088743712371
feature7,0.0063795280726686695
feature19,0.004030999213642313
feature2,0.002821817036028307
feature13,0.0013027202628137797
feature6,0.0005718412268556502
feature3,0.0005700900229569296
feature11,0.0001414694779624687
feature8,7.327724996029729e-05
feature14,5.495157129205489e-05
feature1,5.044817751470316e-05
feature5,3.9624140768381115e-05
feature9,3.918031100768778e-05
feature22,2.5252038352194316e-05
feature12,2.5066545268078018e-05
feature16,2.121189870378412e-05
feature30,1.6513892352481813e-05
feature18,1.5657502454762834e-05
feature17,1.417762372235881e-05
feature20,1.3829463751858793e-05
feature26,1.2960089726327608e-05
feature28,1.1032663241538444e-05
feature31,1.063018393248877e-05
feature27,1.0109025680419882e-05
feature24,9.451785888248158e-06
feature29,9.359936209811384e-06
feature23,9.079930226669313e-06
feature25,8.05656616957244e-06
feature15,2.607647639412921e-06
feature35,9.448903907431527e-07
feature32,5.089184374575809e-11
feature33,0.0
feature34,0.0
