feature,coefficient,abs_coefficient
feature4,-0.09616616985061655,0.09616616985061655
feature6,-0.010344857192877229,0.010344857192877229
feature2,0.0027462071005811143,0.0027462071005811143
feature7,-0.0020719891208790604,0.0020719891208790604
feature11,-0.000952258028694073,0.000952258028694073
feature10,0.0009141809683390915,0.0009141809683390915
feature21,-0.0008600530078127618,0.0008600530078127618
feature15,0.0005984213724845248,0.0005984213724845248
feature17,-0.0005874050417095916,0.0005874050417095916
feature5,-0.0005674615092804941,0.0005674615092804941
feature3,0.0005599675326892134,0.0005599675326892134
feature18,-0.000553587991695361,0.000553587991695361
feature9,-0.0004980511836902267,0.0004980511836902267
feature27,0.000272777368304673,0.000272777368304673
feature8,-0.00022298213992375324,0.00022298213992375324
feature1,-0.00019238519227470201,0.00019238519227470201
feature22,-0.0001884305529723383,0.0001884305529723383
feature35,-0.00017236168994354348,0.00017236168994354348
feature26,-0.0001656442469452903,0.0001656442469452903
feature31,-0.00016286245011199024,0.00016286245011199024
feature20,0.00013962918411978878,0.00013962918411978878
feature13,0.00012975921567100847,0.00012975921567100847
feature25,-0.00012794922750287565,0.00012794922750287565
feature33,9.602322842599262e-05,9.602322842599262e-05
feature14,-9.550699882312035e-05,9.550699882312035e-05
feature24,9.47253168285299e-05,9.47253168285299e-05
feature30,7.042400240601727e-05,7.042400240601727e-05
feature32,-6.860232205302667e-05,6.860232205302667e-05
feature12,-6.788159043278763e-05,6.788159043278763e-05
feature16,-6.684388965933424e-05,6.684388965933424e-05
feature23,-6.320877720575698e-05,6.320877720575698e-05
feature28,-2.0784036244135104e-05,2.0784036244135104e-05
feature19,-6.838105916080545e-07,6.838105916080545e-07
feature29,-3.259650320167789e-08,3.259650320167789e-08
feature34,0.0,0.0
