feature,coefficient,abs_coefficient
feature4,-1.0960130081267478,1.0960130081267478
feature6,-0.12820974022727483,0.12820974022727483
feature10,0.03408136188483437,0.03408136188483437
feature17,-0.02737790882065011,0.02737790882065011
feature33,0.02673252141360942,0.02673252141360942
feature3,-0.023673458687308743,0.023673458687308743
feature11,0.02225294056913356,0.02225294056913356
feature7,0.01881277341974503,0.01881277341974503
feature2,-0.011619785320726689,0.011619785320726689
feature13,-0.010635660000279204,0.010635660000279204
feature35,-0.0086864107305953,0.0086864107305953
feature22,-0.008612766314520516,0.008612766314520516
feature5,-0.00828499762566706,0.00828499762566706
feature1,-0.007436754463267425,0.007436754463267425
feature16,-0.006883242415806297,0.006883242415806297
feature9,-0.006536734088949616,0.006536734088949616
feature12,0.006528728564664513,0.006528728564664513
feature20,0.0036112410342118654,0.0036112410342118654
feature23,-0.002443156262340399,0.002443156262340399
feature32,0.0022884359030836397,0.0022884359030836397
feature21,-0.002271380714438714,0.002271380714438714
feature26,-0.0021846126670541136,0.0021846126670541136
feature18,0.0021087954556823075,0.0021087954556823075
feature8,0.0020668321296610677,0.0020668321296610677
feature29,-0.0018169613080104288,0.0018169613080104288
feature31,-0.0017757644550560584,0.0017757644550560584
feature28,0.0015941361978220256,0.0015941361978220256
feature19,-0.0015730823442202798,0.0015730823442202798
feature24,0.0015057683301806805,0.0015057683301806805
feature25,-0.0014284893165252164,0.0014284893165252164
feature27,0.0008102145862301007,0.0008102145862301007
feature30,0.0007777569324463142,0.0007777569324463142
feature15,-0.0005669458828752344,0.0005669458828752344
feature14,-8.201245599041103e-05,8.201245599041103e-05
feature34,0.0,0.0
