时间,束位X,束位Y
2025-08-07 17:38:02,0.11118508655126502,0.616361071932299
2025-08-07 17:38:33,0.13981358189081225,0.6412787964268925
2025-08-07 17:39:03,0.14280958721704398,0.6323460272684533
2025-08-07 17:39:33,0.17310252996005326,0.5984955336154208
2025-08-07 17:40:03,0.17942743009320908,0.6008462623413259
2025-08-07 17:40:34,0.17476697736351532,0.5604137282557593
2025-08-07 17:41:04,0.17476697736351532,0.5853314527503527
2025-08-07 17:41:34,0.16977363515312918,0.5627644569816643
2025-08-07 17:42:05,0.16211717709720375,0.5491302303714152
2025-08-07 17:42:35,0.1507989347536618,0.5223319228960979
2025-08-07 17:43:05,0.11284953395472708,0.5110484250117537
2025-08-07 17:43:35,0.11451398135818913,0.537846732487071
2025-08-07 17:44:06,0.12549933422103862,0.5021156558533146
2025-08-07 17:44:36,0.11451398135818913,0.09214856605547721
2025-08-07 17:45:06,0.1507989347536618,0.21532675129290085
2025-08-07 17:45:36,0.2000665778961385,0.17254348848142925
2025-08-07 17:46:07,0.24600532623169113,0.23319228960977906
2025-08-07 17:46:37,0.25565912117177103,0.3229901269393512
2025-08-07 17:47:07,0.2430093209054594,0.3676539727315468
2025-08-07 17:47:37,0.2809587217043942,0.4414668547249648
2025-08-07 17:48:08,0.3015978695073236,0.2891396332863188
2025-08-07 17:48:38,0.2952729693741678,0.33615420780441946
2025-08-07 17:49:08,0.30659121171770976,0.40150446638457926
2025-08-07 17:49:38,0.31924101198402133,0.4776680771039023
2025-08-07 17:50:09,0.29693741677762986,0.4978843441466855
2025-08-07 17:50:39,0.2906125166444741,0.5110484250117537
2025-08-07 17:51:09,0.2523302263648469,0.5086976962858487
2025-08-07 17:51:40,0.2333555259653795,0.5246826516220029
2025-08-07 17:52:10,0.20472703062583225,0.47061589092618716
2025-08-07 17:52:40,0.17476697736351532,0.4800188058298073
2025-08-07 17:53:10,0.16511318242343542,0.48895157498824643
2025-08-07 17:53:41,0.1507989347536618,0.5110484250117537
2025-08-07 17:54:11,0.14280958721704398,0.537846732487071
2025-08-07 17:54:41,0.13515312916111855,0.5472496473906912
2025-08-07 17:55:11,0.12716378162450068,0.5604137282557593
2025-08-07 17:55:42,0.12217043941411454,0.5829807240244477
2025-08-07 17:56:12,0.10319573901464713,0.5806299952985426
2025-08-07 17:56:42,0.09221038615179761,0.5693464974141985
2025-08-07 17:57:12,0.09221038615179761,0.5693464974141985
2025-08-07 17:57:43,0.10818908122503329,0.5872120357310767
2025-08-07 17:58:13,0.11284953395472708,0.5782792665726376
2025-08-07 17:58:43,0.11584553928095873,0.5716972261401035
2025-08-07 17:59:14,0.10952063914780297,0.5425481899388811
2025-08-07 17:59:44,0.09853528628495345,0.5693464974141985
2025-08-07 18:00:14,0.09221038615179761,0.5538316878232253
2025-08-07 18:00:44,0.09221038615179761,0.5401974612129761
2025-08-07 18:01:15,0.09520639147802934,0.5514809590973203
2025-08-07 18:01:45,0.09387483355525966,0.535966149506347
2025-08-07 18:02:15,0.0968708388814914,0.5110484250117537
2025-08-07 18:02:45,0.08754993342210388,0.49083215796897045
2025-08-07 18:03:16,0.08754993342210388,0.5044663845792197
2025-08-07 18:03:46,0.06990679094540614,0.5133991537376588
2025-08-07 18:04:16,0.04627163781624505,0.5425481899388811
2025-08-07 18:04:47,0.03328894806924099,0.5782792665726376
2025-08-07 18:05:17,0.020639147802929414,0.5961448048895158
2025-08-07 18:05:47,0.01897470039946736,0.6234132581100141
2025-08-07 18:06:17,0.03195739014647142,0.6234132581100141
2025-08-07 18:06:48,0.03961384820239683,0.6680771039022098
2025-08-07 18:07:18,0.05559254327563251,0.6638457921955807
2025-08-07 18:07:48,0.05259653794940078,0.6525622943112365
2025-08-07 18:08:18,0.06691078561917446,0.6638457921955807
2025-08-07 18:08:49,0.0619174434087883,0.681711330512459
2025-08-07 18:09:19,0.050932090545938724,0.6614950634696757
2025-08-07 18:09:49,0.03195739014647142,0.6680771039022098
2025-08-07 18:10:20,0.03828229027962715,0.6704278326281148
2025-08-07 18:10:50,0.050932090545938724,0.6657263751763047
2025-08-07 18:11:20,0.06990679094540614,0.6657263751763047
2025-08-07 18:11:50,0.06524633821571241,0.6544428772919606
2025-08-07 18:12:21,0.07323568575233025,0.6389280677009874
2025-08-07 18:12:51,0.06691078561917446,0.609779031499765
2025-08-07 18:13:21,0.06358189081225035,0.6187118006582041
2025-08-07 18:13:52,0.047603195739014614,0.6187118006582041
2025-08-07 18:14:22,0.03961384820239683,0.6252938410907383
2025-08-07 18:14:52,0.04294274300932094,0.61212976022567
2025-08-07 18:15:22,0.053928095872170456,0.6031969910672309
2025-08-07 18:15:53,0.06025299600532624,0.5984955336154208
