feature,coefficient,abs_coefficient
feature4,-1.028092769964461,1.028092769964461
feature6,-0.10775309273393391,0.10775309273393391
feature2,0.03279097879728645,0.03279097879728645
feature33,0.01536638366380505,0.01536638366380505
feature7,-0.014340614319250138,0.014340614319250138
feature3,0.007380417756492697,0.007380417756492697
feature11,-0.006981526277344898,0.006981526277344898
feature5,-0.0055734760785846466,0.0055734760785846466
feature10,0.005395841515248883,0.005395841515248883
feature21,-0.005065885578628712,0.005065885578628712
feature9,-0.004927727017732344,0.004927727017732344
feature15,0.004915364541263131,0.004915364541263131
feature18,-0.004910607877579862,0.004910607877579862
feature17,-0.004615562799871455,0.004615562799871455
feature35,-0.004485868134560841,0.004485868134560841
feature32,-0.004139805382733287,0.004139805382733287
feature1,-0.0023377290213320474,0.0023377290213320474
feature8,-0.002239564692924001,0.002239564692924001
feature27,0.0019826326937129875,0.0019826326937129875
feature13,0.001704968053844727,0.001704968053844727
feature22,-0.0014931103021654684,0.0014931103021654684
feature26,-0.0012069521277799644,0.0012069521277799644
feature31,-0.0011933695686529996,0.0011933695686529996
feature20,0.0011486891946289194,0.0011486891946289194
feature14,-0.0008483462378260836,0.0008483462378260836
feature25,-0.0007543503638857165,0.0007543503638857165
feature24,0.0006943014074781684,0.0006943014074781684
feature16,-0.0005647704924570071,0.0005647704924570071
feature23,-0.0005612176517807001,0.0005612176517807001
feature12,-0.0005342408025213135,0.0005342408025213135
feature30,0.0005191653579789052,0.0005191653579789052
feature28,-0.00018134367580690874,0.00018134367580690874
feature19,-3.1208629561701985e-06,3.1208629561701985e-06
feature29,-2.3725321210546573e-07,2.3725321210546573e-07
feature34,0.0,0.0
