feature,importance
feature4,0.9624660012589573
feature10,0.01393952681800376
feature7,0.01139912979913717
feature21,0.003972925626647033
feature13,0.003412637153475985
feature19,0.0015726787085961413
feature6,0.0010526601525150607
feature2,0.0007153743334899598
feature3,0.0006815417363875718
feature11,0.00016607021693123376
feature5,6.49790953270409e-05
feature9,6.379270702642516e-05
feature8,6.131628308715076e-05
feature1,5.866557493477017e-05
feature14,5.5753618643302825e-05
feature18,3.67403981942917e-05
feature12,3.534587264830646e-05
feature22,2.8014084994301033e-05
feature23,2.6067165743272544e-05
feature27,2.490813120376059e-05
feature16,2.15781014046288e-05
feature30,1.8547111028693926e-05
feature20,1.8414542832294658e-05
feature17,1.656291064111174e-05
feature24,1.628746222821348e-05
feature29,1.4645487004320263e-05
feature31,1.4504393029436576e-05
feature25,1.1771805233829622e-05
feature28,1.1476403103151227e-05
feature26,1.1330378928890659e-05
feature35,6.636966115447274e-06
feature32,2.750563504401297e-06
feature15,1.3651125539182068e-06
feature33,2.6447833510193744e-11
feature34,0.0
