feature,importance
feature4,0.8484468
feature21,0.09844083
feature7,0.0149567155
feature19,0.011749847
feature10,0.010631677
feature13,0.005409215
feature6,0.0025105274
feature35,0.001498926
feature2,0.0011900176
feature3,0.0009477091
feature11,0.0005893254
feature23,0.00034260278
feature17,0.00033972537
feature18,0.00025065368
feature27,0.00021400493
feature30,0.00020686175
feature22,0.00020249789
feature16,0.00019764129
feature15,0.00019722445
feature24,0.00016133537
feature14,0.00015617494
feature5,0.00015197891
feature12,0.00014368397
feature9,0.00014298718
feature1,0.00013455092
feature8,0.00013400054
feature31,0.00013180605
feature26,0.00010672559
feature28,0.000104137194
feature25,9.6467826e-05
feature20,9.321059e-05
feature29,8.790906e-05
feature32,3.2158947e-05
feature33,0.0
feature34,0.0
