feature,importance
feature4,0.9342556488924958
feature19,0.0221781024217077
feature10,0.01608004300975241
feature2,0.009533459619337315
feature21,0.008354573519565405
feature7,0.005563754997136646
feature6,0.0028834320108648824
feature3,0.0008014647760932716
feature13,0.000286826334342384
feature11,3.8409419016917156e-05
feature9,6.365262852050057e-06
feature22,4.044647992542043e-06
feature15,2.791620898519981e-06
feature16,2.595404119695093e-06
feature20,1.8579541753373041e-06
feature1,1.6743250471498695e-06
feature5,1.6143453380701715e-06
feature8,1.5287675647164596e-06
feature18,6.130503767477617e-07
feature30,4.3634656032861514e-07
feature14,3.7278185034807985e-07
feature26,2.33582379152806e-07
feature23,1.56910532417811e-07
feature17,0.0
feature12,0.0
feature24,0.0
feature25,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
