Delta_X,Delta_Y
3.1469999999999345,50.35400000000001
-32.61499999999978,-57.507000000000005
-11.15800000000013,31.75699999999999
-45.777000000000044,29.75500000000001
-24.891000000000076,-54.35900000000001
20.027000000000044,52.929
-9.154999999999973,25.176999999999992
-66.08899999999971,-46.92099999999999
-44.346000000000004,32.902000000000015
31.471000000000004,-36.622000000000014
-73.8140000000003,18.88300000000001
24.31800000000021,14.877999999999986
-60.08100000000013,-37.76599999999999
-42.91600000000017,13.733000000000004
-20.884999999999764,74.959
-36.90700000000015,-61.798
-29.182999999999993,32.32899999999998
-25.748999999999796,-1.7159999999999798
18.02500000000009,0.5720000000000027
-68.37900000000036,-1.717000000000013
-18.596999999999753,-22.888000000000005
-47.778999999999996,57.507000000000005
-31.757000000000062,17.451999999999998
-36.04899999999998,-26.894000000000005
-47.778999999999996,42.916
-6.008000000000266,0.5720000000000027
-48.92399999999998,-44.346000000000004
-30.039999999999964,17.738
4.291000000000167,20.600000000000023
-65.51699999999983,-25.17700000000002
2.8609999999998763,7.724000000000018
-64.94500000000016,24.89099999999999
23.746000000000095,28.609999999999985
-104.14100000000008,-11.157999999999959
11.730000000000018,7.4389999999999645
-21.458000000000084,50.353999999999985
-5.435999999999694,-18.024
-16.88000000000011,-36.90799999999996
-63.80000000000018,-5.149000000000001
-24.891000000000076,35.476
-21.743999999999687,27.180000000000007
-11.730000000000018,-55.50400000000002
-74.10100000000011,52.928999999999974
45.20400000000018,-35.19
-40.626000000000204,28.610000000000014
-60.653999999999996,54.35900000000004
-9.154999999999745,-16.30800000000005
-2.575000000000273,-20.312999999999988
-17.73799999999983,-14.87700000000001
-62.371000000000095,-13.447000000000003
-36.90700000000015,86.97500000000002
21.458000000000084,-57.50599999999997
-70.38099999999986,-29.18300000000005
2.574999999999818,51.499000000000024
-43.77399999999989,-15.163999999999987
31.184999999999945,27.75200000000001
-11.44399999999996,-5.722000000000037
-56.07600000000002,26.035000000000025
-31.184999999999945,-17.165999999999997
24.891000000000076,30.326999999999998
-43.77400000000034,11.44399999999996
-47.49299999999994,-19.168999999999983
-37.76499999999987,-14.591000000000008
32.32900000000018,27.180000000000007
-111.57999999999993,-14.305000000000007
9.72799999999961,1.4300000000000068
-11.157999999999902,28.03800000000001
4.291000000000167,-4.290999999999997
-69.52300000000014,20.312999999999988
-47.49299999999994,-49.20999999999998
37.19399999999996,30.326999999999998
-63.228999999999814,-8.297000000000025
-11.730000000000018,7.439000000000021
-2.861000000000331,-6.293999999999983
-2.0029999999997017,-14.878000000000043
-49.20900000000029,-14.019000000000005
6.8659999999999854,-0.5720000000000027
-19.454999999999927,30.041000000000054
-68.3779999999997,-6.867000000000019
42.628999999999905,-44.918000000000006
-42.91600000000017,6.007999999999981
-12.016000000000076,27.180000000000007
-57.2199999999998,32.329999999999984
15.735000000000127,-18.59699999999998
-48.065000000000055,1.7169999999999845
-22.602000000000317,-24.60499999999996
-8.297000000000025,-24.605000000000018
-26.320999999999913,-8.583000000000027
-8.582999999999629,53.50100000000003
-60.36800000000039,-12.302000000000021
-17.166000000000167,-55.21799999999996
45.20400000000063,43.488
-24.319000000000415,-8.011000000000024
2.0029999999997017,-9.156000000000006
-80.68099999999959,49.49599999999998
-25.17699999999968,10.300000000000011
0.0,0.28600000000000136
16.59400000000005,-22.887999999999977
9.154999999999745,20.59899999999999
6.0090000000000146,36.04899999999998
-38.623999999999796,-24.890999999999963
25.748999999999796,14.591000000000008
-89.26400000000012,-62.656000000000006
2.28899999999976,47.778999999999996
13.447000000000116,-32.04400000000004
-79.2510000000002,-2.0019999999999527
-4.290999999999258,6.293999999999983
-7.439000000000306,-3.4329999999999927
-47.207000000000335,-1.7169999999999845
63.801000000000386,5.72199999999998
-90.98000000000047,-20.026999999999987
3.719000000000051,-22.888000000000034
75.81700000000001,36.049000000000035
-104.71299999999974,9.726999999999975
-23.175000000000182,-6.007999999999981
-21.456999999999425,-75.531
14.59099999999944,4.005999999999972
-9.154999999999745,64.945
-50.35400000000027,7.152000000000044
-9.728000000000065,-21.742999999999995
17.452000000000226,-16.022000000000048
-12.873999999999796,-12.016999999999996
7.152000000000044,12.875
-63.801000000000386,-0.28600000000000136
40.62700000000041,16.022000000000048
-16.021999999999935,-4.578000000000031
-100.13600000000042,-25.748999999999967
80.39500000000044,32.32899999999995
-52.92900000000009,-34.331999999999994
2.0029999999997017,14.305000000000007
-1.7169999999996435,-26.32099999999997
-45.49000000000069,16.02199999999999
-2.0029999999997017,19.454999999999984
12.016999999999825,-18.88299999999998
-49.78200000000015,-12.01600000000002
44.63200000000052,-14.305999999999983
-60.36800000000039,-39.196000000000026
-7.72400000000016,29.754999999999995
2.0020000000004075,22.602000000000032
-21.457000000000335,-42.34300000000002
16.3070000000007,46.63499999999999
-20.027000000000044,-29.754999999999995
-52.92900000000009,37.192999999999984
81.82600000000002,-72.38399999999996
-61.79899999999998,6.866999999999962
-37.76500000000033,-16.593999999999994
12.875,19.45500000000004
-23.46100000000024,17.165999999999997
-40.91199999999935,-21.744000000000028
32.32899999999972,38.624000000000024
-64.3730000000005,-60.653999999999996
30.041000000000167,70.382
-6.86699999999928,-62.65700000000004
-39.76800000000003,-59.222999999999985
-32.902000000000044,70.953
47.49299999999948,-58.078
-35.47599999999966,13.732
-29.75500000000011,4.578000000000003
26.894000000000233,-16.307999999999993
-14.019000000000233,-2.2890000000000157
24.31800000000021,17.167
-74.67200000000048,-40.91300000000001
14.019000000000233,-12.015999999999991
-7.725000000000364,16.593999999999994
-38.33799999999974,-36.33499999999998
22.315999999999804,26.320999999999998
-32.32899999999972,-46.34900000000002
-3.4340000000001965,89.26400000000001
29.182999999999993,-0.5720000000000027
-27.17999999999938,-1.1440000000000055
