feature,pls_weight
feature19,0.1631347955870402
feature7,0.15497111015709916
feature11,0.12454875702307806
feature4,0.10381794101745682
feature10,0.09276242597749376
feature13,0.06260540956179547
feature21,0.056413480995208064
feature5,0.053697038491924344
feature20,0.024171802685093273
feature6,0.018928285251711835
feature2,0.018168311551675108
feature17,0.016920280499088503
feature22,0.015266961073392721
feature9,0.009742653375424562
feature24,0.00961709190984937
feature1,0.009609851853481342
feature31,0.008807724201473134
feature12,0.008477315684371035
feature3,0.00829825524826752
feature26,0.0067107991858780655
feature16,0.006550038128029817
feature8,0.0037831858349643313
feature30,0.0035831892686755216
feature28,0.0034867398874474055
feature18,0.003149307751993993
feature25,0.0026771584626013407
feature23,0.0021189596264148563
feature27,0.0017203903981018681
feature33,0.001652458864657539
feature32,0.0015879093155476852
feature14,0.001449903288118316
feature15,0.0012536820147079537
feature29,0.00017883665237346266
feature35,0.00013794917556364438
feature34,0.0
