feature,importance
feature4,0.9627585609710687
feature10,0.013025735131150183
feature7,0.010891581522801178
feature19,0.0037631801116189347
feature13,0.002526255589874318
feature6,0.0021438811784318533
feature2,0.002016850692248119
feature21,0.0019135471895556835
feature3,0.0007660808505746907
feature11,4.737759009159029e-05
feature5,1.867441991171333e-05
feature9,1.4670263936098454e-05
feature8,1.426253358508749e-05
feature1,1.3058268333514264e-05
feature22,1.0018633846302831e-05
feature24,9.668834586153206e-06
feature17,8.976345175212745e-06
feature16,7.1483520105876946e-06
feature14,6.610609600384892e-06
feature18,6.412256948301293e-06
feature27,6.202889834098757e-06
feature31,4.750334469316951e-06
feature25,4.216656942667535e-06
feature12,4.176632494943412e-06
feature23,4.066602928641412e-06
feature15,3.2599099937007055e-06
feature20,2.801317336236022e-06
feature30,2.7554742115080583e-06
feature26,2.5873456950548725e-06
feature28,1.856139312244893e-06
feature29,7.753514330972067e-07
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
