feature,importance
feature4,0.6695445736875721
feature6,0.08716206636925754
feature7,0.08482967641770983
feature19,0.054203806812861424
feature10,0.04098719751518214
feature2,0.029744627680882336
feature13,0.012707919061628756
feature21,0.00984460661857134
feature17,0.006919140894506962
feature11,0.0015662821031607991
feature3,0.001224993275284456
feature5,0.00017106394590062665
feature8,0.00013823289732875732
feature1,0.00013727078505867564
feature9,0.0001271208809647125
feature14,0.0001203976519128422
feature18,7.714295482987607e-05
feature12,5.455142647550971e-05
feature22,5.18134170798318e-05
feature23,4.455807326120049e-05
feature16,4.388818657996182e-05
feature30,3.995986242348312e-05
feature20,3.740607974789451e-05
feature24,3.724949711292616e-05
feature29,3.597928898417213e-05
feature25,3.167280130198155e-05
feature28,2.755296285753718e-05
feature27,2.5248526121356082e-05
feature26,2.4745658782335227e-05
feature31,2.106977773570715e-05
feature15,1.7252363506542917e-05
feature32,5.774778207945361e-07
feature35,3.54269739930255e-07
feature33,7.778557634959996e-10
feature34,0.0
