feature,importance
feature4,0.5793747
feature19,0.118723564
feature6,0.054453097
feature21,0.053768873
feature7,0.049604453
feature17,0.04116099
feature10,0.028978748
feature2,0.025726192
feature15,0.017386675
feature13,0.01272218
feature11,0.0037693584
feature5,0.0019284758
feature3,0.001861754
feature18,0.0014040242
feature30,0.0011882718
feature23,0.0009205423
feature32,0.00088558637
feature12,0.00087585836
feature1,0.0007969147
feature9,0.0006916388
feature29,0.0006007689
feature26,0.00055327866
feature14,0.0005200818
feature8,0.00035786274
feature16,0.00029998383
feature31,0.00028915494
feature22,0.00026018225
feature25,0.00022080068
feature20,0.00019617124
feature27,0.00017337571
feature24,0.00016108679
feature28,0.00014541228
feature33,0.0
feature34,0.0
feature35,0.0
