feature,importance
feature4,0.36403584
feature19,0.34340316
feature10,0.08872964
feature21,0.079901166
feature2,0.07440349
feature7,0.016082022
feature13,0.014865257
feature6,0.01095986
feature11,0.004273306
feature3,0.002438851
feature20,0.00054804905
feature9,0.00028856608
feature14,7.08052e-05
feature1,0.0
feature5,0.0
feature15,0.0
feature16,0.0
feature8,0.0
feature12,0.0
feature18,0.0
feature17,0.0
feature22,0.0
feature23,0.0
feature24,0.0
feature25,0.0
feature26,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature30,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
