feature,importance
feature4,0.640188018856832
feature2,0.09777158729702203
feature19,0.08908942083570436
feature10,0.08745987711259004
feature7,0.055857157941662836
feature6,0.014064062394742345
feature21,0.005426163659605025
feature17,0.005055375093244887
feature13,0.00413643977056143
feature11,0.0009149658056878232
feature22,1.8285508332268367e-05
feature9,1.1678191639892205e-05
feature3,6.967532375087265e-06
feature1,0.0
feature5,0.0
feature15,0.0
feature14,0.0
feature8,0.0
feature12,0.0
feature18,0.0
feature16,0.0
feature20,0.0
feature23,0.0
feature24,0.0
feature25,0.0
feature26,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature30,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
