feature,importance
feature19,0.33698365
feature4,0.29899958
feature17,0.10512474
feature7,0.06174662
feature2,0.04513559
feature21,0.043135997
feature10,0.041352347
feature11,0.03332959
feature13,0.021049326
feature6,0.011554215
feature3,0.0012010745
feature24,0.00038724247
feature1,0.0
feature8,0.0
feature9,0.0
feature15,0.0
feature14,0.0
feature5,0.0
feature12,0.0
feature18,0.0
feature16,0.0
feature22,0.0
feature20,0.0
feature23,0.0
feature25,0.0
feature26,0.0
feature27,0.0
feature28,0.0
feature29,0.0
feature30,0.0
feature31,0.0
feature32,0.0
feature33,0.0
feature34,0.0
feature35,0.0
