feature,coefficient,abs_coefficient
feature4,-0.15340641400778218,0.15340641400778218
feature6,-0.012594756391986765,0.012594756391986765
feature10,0.006657513307476494,0.006657513307476494
feature17,-0.004209631184288937,0.004209631184288937
feature7,0.0037881241283708846,0.0037881241283708846
feature11,0.00303017325589541,0.00303017325589541
feature3,-0.0018516343209014664,0.0018516343209014664
feature22,-0.0011018865823016145,0.0011018865823016145
feature2,-0.0009545973692956563,0.0009545973692956563
feature13,-0.0009163199389282018,0.0009163199389282018
feature5,-0.0008677811179488047,0.0008677811179488047
feature12,0.0008263404660149523,0.0008263404660149523
feature16,-0.0008137197642709837,0.0008137197642709837
feature9,-0.0006692598162503891,0.0006692598162503891
feature1,-0.0006098785304055508,0.0006098785304055508
feature20,0.0004413875025862964,0.0004413875025862964
feature19,-0.0003900717725530319,0.0003900717725530319
feature21,-0.00038385072055797725,0.00038385072055797725
feature35,-0.0003366576978030657,0.0003366576978030657
feature26,-0.00029827762169169737,0.00029827762169169737
feature23,-0.00027534431900593664,0.00027534431900593664
feature29,-0.00024906885527927185,0.00024906885527927185
feature31,-0.00024258155322750603,0.00024258155322750603
feature25,-0.00024078739201001943,0.00024078739201001943
feature18,0.00023660373209966762,0.00023660373209966762
feature8,0.00020882113543805602,0.00020882113543805602
feature24,0.0002049592609516487,0.0002049592609516487
feature28,0.00018174975164867558,0.00018174975164867558
feature33,0.0001623441910280678,0.0001623441910280678
feature27,0.00011121902979007989,0.00011121902979007989
feature30,0.00010556097459739817,0.00010556097459739817
feature32,6.476783660420116e-05,6.476783660420116e-05
feature15,-6.229339292516146e-05,6.229339292516146e-05
feature14,-9.295434598347429e-06,9.295434598347429e-06
feature34,0.0,0.0
